,"0
08:30 - 08:55","1
09:00 - 09:45","2
09:55 - 10:40","3
10:50 - 11:35","4
11:45 - 12:30","5
12:50 - 13:35","6
13:55 - 14:40","7
14:50 - 15:35","8
15:45 - 16:30"
0,,,,,,,,,
1,,,,,,,,,
2,,"6Б
Информатика
23","6Б
Информатика
23","6Б
Информатика
23","6Б
Информатика
23","7Г
Геометрия
37","7Г
Геометрия
37",,
3,,"6Б
Алгебра и теория вероятностей
37","6Б
Алгебра и теория вероятностей
37","7Г
Практ.Мат.
37","7Г
Практ.Мат.
37","7Г
Практ.Мат.
37","7Г
Практ.Мат.
37",,
4,,"6Б
Геометрия
37","6Б
Геометрия
37",,,"6Б
Практ.Мат.
37","6Б
Практ.Мат.
37",,
5,,,,"7Г
Геометрия
37","7Г
Геометрия
37","6Б
Математика
37","6Б
Математика
37",,
