,"0
08:30 - 08:55","1
09:00 - 09:45","2
09:55 - 10:40","3
10:50 - 11:35","4
11:45 - 12:30","5
12:50 - 13:35","6
13:55 - 14:40","7
14:50 - 15:35","8
15:45 - 16:30"
0,,,,,,,,,
1,,"11А/11Б/11В/11Г/11Д
Информатика (1)
25","11А/11Б/11В/11Г/11Д
Информатика (1)
25","11А/11Б/11В/11Г/11Д
Информатика (1)
25","11А/11Б/11В/11Г/11Д
Информатика (1)
25","11Г/11Д
Информатика (4)
25","11Г/11Д
Информатика (4)
25",,
2,,,,"10А/10Б/10В/10Г/10Д
Информатика (3)
25","10А/10Б/10В/10Г/10Д
Информатика (3)
25","10А/10Б/10Г/10Д
Информатика (4)
25","10А/10Б/10Г/10Д
Информатика (4)
25",,
3,,,,,,,,"10А/10Б/10В/10Г/10Д
Решение контестов (1)
25","10А/10Б/10В/10Г/10Д
Решение контестов (1)
25"
4,,"11А/11Б
Информатика (3)
25","11А/11Б
Информатика (3)
25","11А/11Б/11В/11Г/11Д
Информатика (1)
25","11А/11Б/11В/11Г/11Д
Информатика (1)
25","10В/10Г/10Д
Олимпиадное программирование (2)
25","10В/10Г/10Д
Олимпиадное программирование (2)
25","11А/11Б/11В/11Г/11Д
Информатика (2)
25","11А/11Б/11В/11Г/11Д
Информатика (2)
25"
5,,"10А/10Б/10В/10Г/10Д
Теория алгоритмов (1)
23,25","10А/10Б/10В/10Г/10Д
Теория алгоритмов (1)
23,25","11А/11Б/11В/11Г/11Д
Теория алгоритмов (1)
25","11А/11Б/11В/11Г/11Д
Теория алгоритмов (1)
25","10А/10Б/10В/10Д
Олимпиадное программирование (1)
25","10А/10Б/10В/10Д
Олимпиадное программирование (1)
25",,
