,"0
08:30 - 08:55","1
09:00 - 09:45","2
09:55 - 10:40","3
10:50 - 11:35","4
11:45 - 12:30","5
12:50 - 13:35","6
13:55 - 14:40","7
14:50 - 15:35","8
15:45 - 16:30"
0,"10В
Классный Час
45","10В
Рус.яз.
45",,"10А
Литература
45","10А
Литература
45","7Д
Рус.яз.
45","7Д
Рус.яз.
45","10В
Литература
45",
1,,"10В
Литература
45","10В
Литература
45","10А
Рус.яз.
45","10А
Рус.яз.
45",,,,
2,,,,,,,,,
3,,"10А
Литература
45","10А
Литература
45","7Д
Литература
45","7Д
Литература
45",,,"8Б
Рус.яз.
45",
4,,"10В
Рус.яз. Лит-ра
45","10В
Рус.яз. Лит-ра
45","8Б
Литература
45","8Б
Литература
45",,,,
5,,"7Д
Рус.яз.
45","7Д
Рус.яз.
45","8Б
Рус.яз.
45","8Б
Рус.яз.
45",,,,
