,"0
08:30 - 08:55","1
09:00 - 09:45","2
09:55 - 10:40","3
10:50 - 11:35","4
11:45 - 12:30","5
12:50 - 13:35","6
13:55 - 14:40","7
14:50 - 15:35","8
15:45 - 16:30"
0,,,,,,,,,
1,,"11А/11Б/11В/11Г/11Д
Практ.эк. (1)
410","11А/11Б/11В/11Г/11Д
Практ.эк. (1)
410","11А/11Г/11Д
Обществознание (2)
410","11А/11Г/11Д
Обществознание (2)
410","10А/10Б/10В/10Г/10Д
Обществознание (1)
410","10А/10Б/10В/10Г/10Д
Обществознание (1)
410","9Г/9Д
Обществ.
410",
2,,"8Д
Обществ.
309","8Д
Обществ.
309","9А/9Г/9Д
Обществ.
309","9А/9Г/9Д
Обществ.
309",,"8А
Обществ.
33","8Д
Обществ.
33",
3,,,,,,"8А
Обществ.
309","8А
Обществ.
309","10А/10Б/10В/10Г/10Д
География (1)
54","10А/10Б/10В/10Г/10Д
География (1)
54"
4,,,,"11А/11Б/11В/11Г/11Д
Обществознание (1)
44","11А/11Б/11В/11Г/11Д
Обществознание (1)
44","8Б
Обществ.
40",,,
5,,"10А/10Б/10В/10Г/10Д
Обществознание (2)
310","10А/10Б/10В/10Г/10Д
Обществознание (2)
310","11А/11Б/11В/11Г/11Д
Обществознание (1)
310","11А/11Б/11В/11Г/11Д
Обществознание (1)
310","8Б
Обществ.
310","8Б
Обществ.
310",,
