Дата,день недели,6 А,6 А,6 Б,6 Б,6 В,6 В,7 А,7 А,7 Б,7 Б,7 В,7 В,7 Г,7 Г,7 Д,7 Д,8 А,8 А,8 Б,8 Б,8 В,8 В,8 Г,8 Г,8 Д,8 Д,9 А,9 А,9 Б,9 Б,9 В,9 В,9 Г,9 Г,9 Д,9 Д,10 А,10 А,10 Б,10 Б,10 В,10 В,10 Г,10 Г,10 Д,10 Д,11 А,11 А,11 Б,11 Б,11 В,11 В,11 Г,11 Г,11 Д,11 Д
2023-10-16,понедельник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-17,вторник,,,,,,,,,кр англ.яз.,кр англ.яз.,,,,,,,,,,,,,,,,,,,,,,,алгебра-работа,,,,,,,,,,,,,,,,,,,,,,,
2023-10-18,среда,,,,,,,,,,,,,,,,,Кр по физике,,Кр по физике,,,,,,Кр по физике,,,,,,,,,,,,,,,,,,,,,,Геометрия,,,,Геометрия,,,,,
2023-10-19,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Контрольная по геометрии,Контрольная по геометрии,,,,,,,,,,,,
2023-10-20,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-21,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-23,понедельник,,,,,,,,,,,,,КР Физика,,,,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,,,,,,,,,,,,,,,,,,,,,3 пара - Панкратьев А. Е.  Подготовка к ЕГЭ по математике,3 пара - Панкратьев А. Е.  Подготовка к ЕГЭ по математике,3 пара - Панкратьев А. Е.  Подготовка к ЕГЭ по математике,3 пара - Панкратьев А. Е.  Подготовка к ЕГЭ по математике,3 пара - Панкратьев А. Е.  Подготовка к ЕГЭ по математике,3 пара - Панкратьев А. Е.  Подготовка к ЕГЭ по математике,3 пара - Панкратьев А. Е.  Подготовка к ЕГЭ по математике,3 пара - Панкратьев А. Е.  Подготовка к ЕГЭ по математике,3 пара - Панкратьев А. Е.  Подготовка к ЕГЭ по математике,3 пара - Панкратьев А. Е.  Подготовка к ЕГЭ по математике
2023-10-24,вторник,,,,,Математика,,,,,,,,,,,,,,Геометрия,,,,,,,,МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),,,,,,,,,,,,,,,,,,,,
2023-10-25,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-26,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,МЦКО информационная безопасность,Базовая физика (Пылева). Контрольная работа,Базовая физика (Пылева). Контрольная работа,Базовая физика (Пылева). Контрольная работа,Базовая физика (Пылева). Контрольная работа,Базовая физика (Пылева). Контрольная работа,Базовая физика (Пылева). Контрольная работа,Базовая физика (Пылева). Контрольная работа,Базовая физика (Пылева). Контрольная работа,,
2023-10-27,пятница,,,,,,,,,,,,,,,,,,кр по химии,,,,,,,кр по химии,,,,зачёт обществознание,,зачёт обществознание,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-28,суббота,,,,,,,,,,,,,,,,,,,,,,,кр по химии,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-30,понедельник,,,,,,,,,,,,,СР Физика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-31,вторник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Пылева (физмат профиль) - контрольная работа по физике,,,,,,,,,,,,,,,,,,
2023-11-02,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-03,пятница,,,,,,,,,,,,,Зачет Физика,,,,,,,кр по химии,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-06,понедельник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-07,вторник,,,,,,,,,,,,,,,,,сочинение,сочинение,,,зачет по физике,зачет по физике,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-08,среда,МЦКО функциональная грамотность (читательская грамотность),МЦКО функциональная грамотность (читательская грамотность),МЦКО функциональная грамотность (читательская грамотность),МЦКО функциональная грамотность (читательская грамотность),МЦКО функциональная грамотность (читательская грамотность),МЦКО функциональная грамотность (читательская грамотность),,,,,Консультация к зачету по физике,,,,Контрольная по алгебре,кр информатика,Алгебра,,,,,,,,,,,,Физика КР,,Физика КР,,,,,,,,,,,,,,,,,,,,Алгебра,,,,,
2023-11-09,четверг,,,,,,,,,,,,,,,,,,,Алгебра,,,,,,,,зачет по физике,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10,пятница,,,,,,,,,,,,,кр информатика,,,,,,,,,,зачет по физике,зачет по физике,,,Работа в формате ОГЭ по русскому языку (Статград),Работа в формате ОГЭ по русскому языку (Статград),Работа в формате ОГЭ по русскому языку (Статград),Работа в формате ОГЭ по русскому языку (Статград),Работа в формате ОГЭ по русскому языку (Статград),Работа в формате ОГЭ по русскому языку (Статград),Работа в формате ОГЭ по русскому языку (Статград),Работа в формате ОГЭ по русскому языку (Статград),Работа в формате ОГЭ по русскому языку (Статград),Работа в формате ОГЭ по русскому языку (Статград),,,,,,,,,,,,,,,,,,,,
2023-11-11,суббота,,,,,,,,,,,,,,,,,зачет по физике,зачет по физике,Геометрия,,сочинение,сочинение,,,сочинение,сочинение,к.р. по физике,,,,кр геометрия,,,,,,,,,,,,,,,,Базовая физика у экономистов (Пылева). Контрольная работа,Базовая физика у экономистов (Пылева). Контрольная работа,Базовая физика у экономистов (Пылева). Контрольная работа,Базовая физика у экономистов (Пылева). Контрольная работа,Базовая физика у экономистов (Пылева). Контрольная работа,Базовая физика у экономистов (Пылева). Контрольная работа,Базовая физика у экономистов (Пылева). Контрольная работа,Базовая физика у экономистов (Пылева). Контрольная работа,,
2023-11-13,понедельник,К/р Русский,,,,,,русский язык,,русский язык,,Практфиз: семестровая контрольная работа,Практфиз: семестровая контрольная работа,,,,,русский язык,,зачет по физике,зачет по физике,русский язык,,,,русский язык,,,,,,,,,,,,Диспансеризация,Диспансеризация,Диспансеризация,Диспансеризация,Диспансеризация,Диспансеризация,Диспансеризация,Диспансеризация,Диспансеризация,Диспансеризация,,,,,,,,,,
2023-11-14,вторник,,,,,,,,,,,русский язык,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-15,среда,,,,,кр информатика,,зачет физика,,,,Зачет по физике,,,,,,,,,,,,,,,,,,,,,,кр спецмат,,,,,,,,,,,,,,Геометрия,,,,Геометрия,,,,,
2023-11-16,четверг,кр информатика,,,,,,,,,,,,,,,,,,,,,,,,зачет по физике,зачет по физике,,,проект по истории,,,,,,,,,,,,,,,,,,Тренировочный ЕГЭ по математике,Тренировочный ЕГЭ по математике,Тренировочный ЕГЭ по математике,Тренировочный ЕГЭ по математике,Тренировочный ЕГЭ по математике,Тренировочный ЕГЭ по математике,Тренировочный ЕГЭ по математике,Тренировочный ЕГЭ по математике,Тренировочный ЕГЭ по математике,Тренировочный ЕГЭ по математике
2023-11-17,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,огэ английский,,огэ английский,,огэ английский,,огэ английский,,огэ английский,,,,,,,,,,,,,,,,,,,,,
2023-11-27,понедельник,,,,,,,,,,,,,,,,,изложение,изложение,,,,,,,,,,,,,,,Зачет Физика,Зачет Физика,,,,,,,,,,,,,,,,,,,,,,
2023-11-28,вторник,,,,,,,,,,,,,,,,,,,,,,,,,изложение,изложение,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29,среда,,,,,,,,,,,,,,,,,,,,,контрольная работа по геометрии,контрольная работа по геометрии,,,контрольная работа по геометрии,контрольная работа по геометрии,,,Физика КР,,Физика КР,,,,,,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,,,,,,,,,,
2023-11-30,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,кр физика,,,,,,,,,,,,,,егэ английский,Пылева (не ЕГЭ) - контрольная по физике,Пылева (не ЕГЭ) - контрольная по физике,Пылева (не ЕГЭ) - контрольная по физике,Пылева (не ЕГЭ) - контрольная по физике,Пылева (не ЕГЭ) - контрольная по физике,Пылева (не ЕГЭ) - контрольная по физике,Пылева (не ЕГЭ) - контрольная по физике,Пылева (не ЕГЭ) - контрольная по физике,Пылева (не ЕГЭ) - контрольная по физике
2024-12-01,пятница,,,,,,,,,,,,,,,,,,,,,изложение,изложение,,,,,,,,,,,,,,,,,,,,,Контрольная по алгебре,Контрольная по алгебре,,,,,,,,,,,,
2024-12-02,суббота,,,КР алгебра,,,,,,,,,,,,Контрольная по геометрии,Контрольная по геометрии,,,,,,,,,,,,,,,,,,,,,Физика КР (физ профиль),,Физика КР(физ профиль),,Физика КР(физ профиль),,Физика КР(физ профиль),,Физика КР(физ профиль),,ЕГКР английский язык (устный),ЕГКР английский язык (устный),ЕГКР английский язык (устный),ЕГКР английский язык (устный),ЕГКР английский язык (устный),ЕГКР английский язык (устный),ЕГКР английский язык (устный),ЕГКР английский язык (устный),ЕГКР английский язык (устный),ЕГКР английский язык (устный)
2024-12-04,понедельник,,,,,,,,,,,,,,,,,,,,,Зачёт по информатике,Зачёт по информатике,,,,,,,Зачет Физика,,,,история кр,,,,,,,,,,,,,,,,,,,,,,,
2024-12-05,вторник,МЦКО резерв функциональная грамотность (читательская грамотность),МЦКО резерв функциональная грамотность (читательская грамотность),МЦКО резерв функциональная грамотность (читательская грамотность),МЦКО резерв функциональная грамотность (читательская грамотность),МЦКО резерв функциональная грамотность (читательская грамотность),МЦКО резерв функциональная грамотность (читательская грамотность),,,,,,,,,,,,,Зачёт по информатике гр. Морозовой,Зачёт по информатике гр. Морозовой,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-07,четверг,,,,,,,,,,,,,,,,,,,,,,,Зачет по информатике гр.Пенкиной,,,,,,история кр,,Зачет Физика,,,,,,,,,,,,,,,,ЕГКР английский язык ЕГКР Биология,ЕГКР английский язык ЕГКР Биология,ЕГКР английский язык ЕГКР Биология,ЕГКР английский язык ЕГКР Биология,ЕГКР английский язык ЕГКР Биология,ЕГКР английский язык ЕГКР Биология,ЕГКР английский язык ЕГКР Биология,ЕГКР английский язык ЕГКР Биология,ЕГКР английский язык ЕГКР Биология,ЕГКР английский язык ЕГКР Биология
2024-12-08,пятница,,,,,,,,,,,,,,,,,,,,,,,,,Зачет по информатике гр.Пенкиной,,,,,,,,,,история кр,,,,,,,,,,,,,,,,,,,,,
2024-12-09,суббота,,,,,,,,,,,,,,,,,Зачёт по информатике гр. Морозовойсрез по физике,Зачёт по информатике гр. Морозовойсрез по физике,Срез по физике,Срез по физике,Срез по физике,Срез по физике,Срез по физике,Срез по физике,Срез по физике,Срез по физике,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-11,понедельник,,,,,,,сочинение,сочинение,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-12,вторник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ЕГКР химия, история, литература, география","ЕГКР химия, история, литература, география","ЕГКР химия, история, литература, география","ЕГКР химия, история, литература, география","ЕГКР химия, история, литература, география","ЕГКР химия, история, литература, география","ЕГКР химия, история, литература, география","ЕГКР химия, история, литература, география","ЕГКР химия, история, литература, география","ЕГКР химия, история, литература, география"
2024-12-13,среда,,,,,,,,,,,,,,,,,Алгебра,,,,,,,,,,,,,,,,,,,,Физика Зачет (физ профиль),,Физика Зачет (физ профиль),,Физика Зачет (физ профиль),,Физика Зачет (физ профиль),,Физика Зачет (физ профиль),,Геометрия,,,,Геометрия,,,,,
2024-12-14,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ЕГКР математика (базовая, профильная)","ЕГКР математика (базовая, профильная)","ЕГКР математика (базовая, профильная)","ЕГКР математика (базовая, профильная)","ЕГКР математика (базовая, профильная)","ЕГКР математика (базовая, профильная)","ЕГКР математика (базовая, профильная)","ЕГКР математика (базовая, профильная)","ЕГКР математика (базовая, профильная)","ЕГКР математика (базовая, профильная)"
2024-12-15,пятница,,,,,,,,,,,,,,,Контрольная по алгебре,Контрольная по алгебре,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-16,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ЕГКР информатика и ИКТ,ЕГКР информатика и ИКТ,ЕГКР информатика и ИКТ,ЕГКР информатика и ИКТ,ЕГКР информатика и ИКТ,ЕГКР информатика и ИКТ,ЕГКР информатика и ИКТ,ЕГКР информатика и ИКТ,ЕГКР информатика и ИКТ,ЕГКР информатика и ИКТ
2024-12-18,понедельник,,,,,,,,,,,,,,,,,,к/р русский язык,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-19,вторник,,,,,кр русский язык,,,,,,,,,,,,,,,,,,,,к/р русский язык,,,,,,,,алгебра кр,,,,Зачет по геометрии,,,,,,,,,,ЕГКР русский язык,ЕГКР русский язык,ЕГКР русский язык,ЕГКР русский язык,ЕГКР русский язык,ЕГКР русский язык,ЕГКР русский язык,ЕГКР русский язык,ЕГКР русский язык,ЕГКР русский язык
2024-12-20,среда,,,,,,,срез практмат,срез практмат,срез практмат,срез практмат,срез практмат,срез практмат,срез практмат,срез практмат,срез практмат,срез практмат,,,Геометрия,,,,Зачёт по информатике гр. Зиннуровой,,,,Тренировочный экзамен по русскому языку в формате ОГЭ,Тренировочный экзамен по русскому языку в формате ОГЭ,Тренировочный экзамен по русскому языку в формате ОГЭ,Тренировочный экзамен по русскому языку в формате ОГЭ,Тренировочный экзамен по русскому языку в формате ОГЭ,Тренировочный экзамен по русскому языку в формате ОГЭ,Тренировочный экзамен по русскому языку в формате ОГЭ,Тренировочный экзамен по русскому языку в формате ОГЭ,Тренировочный экзамен по русскому языку в формате ОГЭ,Тренировочный экзамен по русскому языку в формате ОГЭ,,,,,,,,,,,,,,,,,,,,
2024-12-21,четверг,,,кр русский язык,,,,,,,,,,,,,,,,,,,,,,Зачёт по информатике гр. Зиннуровой,,,,КР по алгебре,,,,,,,,Зачет по геометрии,,,,,,,,,,ЕГКР обществознание и физика,ЕГКР обществознание и физика,ЕГКР обществознание и физика,ЕГКР обществознание и физика,ЕГКР обществознание и физика,ЕГКР обществознание и физика,ЕГКР обществознание и физика,ЕГКР обществознание и физика,ЕГКР обществознание и физика,ЕГКР обществознание и физика
2024-12-22,пятница,К/р русский язык,,,,,,,,к/р русский язык,,к/р русский язык,,,,,,административная работа по алгебре,административная работа по алгебре,административная работа по алгебре,административная работа по алгебре,административная работа по алгебре,административная работа по алгебре,административная работа по алгебре,административная работа по алгебре,административная работа по алгебре,административная работа по алгебре,,,,,,,,,,,К/р по алгебре,,,,,,,,,,,,,,,,,,,
2024-12-23,суббота,,,,,,,,,,,,,,,,,Зачёт по информатике гр. Зиннуровой,,,,,,,,,,,,,,,,,,,,физмат профиль - зачет,,физмат профиль - зачет,,физмат профиль - зачет,,физмат профиль - зачет,,физмат профиль - зачет,,,,,,,,,,,
2024-12-25,понедельник,,,,,,,к/р русский язык,,,,,,,,,,к/р русский язык,,,,к/р русский язык,,,,,,,,,,,,Зачет спецмат,,,,,,,,,,,,,,,,,,,,,,,
2024-12-26,вторник,,,,,,,,,,,,,,,,,,,Зачёт по информатике гр. Зиннуровой,,,,,,,,,,КР по геометрии,КР по геометрии,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-27,среда,,,,,,,,,,,,,,,,,,,Алгебра,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-28,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-29,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-30,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-09,вторник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-10,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-11,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,СРЕЗ по математике,СРЕЗ по математике,СРЕЗ по математике,СРЕЗ по математике,СРЕЗ по математике,СРЕЗ по математике,СРЕЗ по математике,СРЕЗ по математике,СРЕЗ по математике,СРЕЗ по математике,,,,,,,,,,,,,,,,,,,,
2024-01-13,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Физика КР,Физика КР,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-15,понедельник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Зачет геометрия,Зачет геометрия,,,,,,,,,,,,,,,,,,,,,,
2024-01-16,вторник,,,,,Математика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,МЦКО математика,МЦКО математика,МЦКО математика,МЦКО математика,МЦКО математика,МЦКО математика,МЦКО математика,МЦКО математика,МЦКО математика,МЦКО математика,,,,,,,,,,
2024-01-17,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Физика КР,Физика КР,,,,,,,Физ. Профиль - КР,,Физ. Профиль - КР,,Физ. Профиль - КР,,Физ. Профиль - КР,,Физ. Профиль - КР,,,,,,,,,,,
2024-01-18,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-20,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-22,понедельник,,,,,,,,,СРЕЗОВЫЙ ЗАЧЕТ ПО ГЕОМЕТРИИ,СРЕЗОВЫЙ ЗАЧЕТ ПО ГЕОМЕТРИИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-23,вторник,,,,,,,,,,,,,,,СРЕЗОВЫЙ ЗАЧЕТ ПО ГЕОМЕТРИИ,СРЕЗОВЫЙ ЗАЧЕТ ПО ГЕОМЕТРИИ,,,,,,,,,,,,,,,,,,,,,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,,,,,,,,,,
2024-01-24,среда,,,,,,,Срезовый зачет по геометрии,Срезовый зачет по геометрии,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Геометрия,,,,Геометрия,,,,,
2024-01-25,четверг,,,,,,,,,,,СРЕЗОВЫЙ ЗАЧЕТ ПО ГЕОМЕТРИИ,СРЕЗОВЫЙ ЗАЧЕТ ПО ГЕОМЕТРИИ,СРЕЗОВЫЙ ЗАЧЕТ ПО ГЕОМЕТРИИ,СРЕЗОВЫЙ ЗАЧЕТ ПО ГЕОМЕТРИИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-26,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-27,суббота,,,,,,,,,,,Самостоятельная работа по биологии,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-29,понедельник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-30,вторник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,среда,,,,,,,,,,,,,,,Контрольная по алгебре,Контрольная по алгебре,Алгебра,,,,,,,,,,,,,,,,,,,,Пылева: контрольная работа по физике,Пылева: контрольная работа по физике,Пылева: контрольная работа по физике,Пылева: контрольная работа по физике,Пылева: контрольная работа по физике,Пылева: контрольная работа по физике,Пылева: контрольная работа по физике,Пылева: контрольная работа по физике,,,,,,,,,,,,
2024-02-01,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-02,пятница,Срез математика (II пара),Срез математика (II пара),Срез математика (II пара),Срез математика (II пара),Срез математика (II пара),Срез математика (II пара),,,,,,,,,,,,,,,,,,,,,,,,,,,АЛГЕБРА,,,,,,,,,,,,,,,,,,,,,,,
2024-02-03,суббота,,,,,,,,,,,контрольная по геометрии,,,,,,,,,,,,,,,,,,,,,,,,,,Физ профиль - КР,,Физ профиль - КР,,Физ профиль - КР,,Физ профиль - КР,,Физ профиль - КР,,,,,,,,,,,
2024-02-05,понедельник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-06,вторник,,,,,,,,,,,,,,,,,,,контрольная по информатике гр. Зиннуровой,,,,русский язык,,,,,,,,,,АЛГЕБРА,,,,,,,,,,,,,,Тренировочный ЕГЭ по информатике для сдающих экзамен,Тренировочный ЕГЭ по информатике для сдающих экзамен,Тренировочный ЕГЭ по информатике для сдающих экзамен,Тренировочный ЕГЭ по информатике для сдающих экзамен,Тренировочный ЕГЭ по информатике для сдающих экзамен,Тренировочный ЕГЭ по информатике для сдающих экзамен,Тренировочный ЕГЭ по информатике для сдающих экзамен,Тренировочный ЕГЭ по информатике для сдающих экзамен,Тренировочный ЕГЭ по информатике для сдающих экзамен,Тренировочный ЕГЭ по информатике для сдающих экзамен
2024-02-07,среда,,,,,контрольная по информатике гр. Зиннуровой,,,,,,,,,,Контрольная по практмату,Контрольная по практмату,,,Геометрия,,,,контрольная по информатике гр. Зиннуровой,,,,Тренировочное итоговое собеседование по русскому языку,Тренировочное итоговое собеседование по русскому языку,Тренировочное итоговое собеседование по русскому языку,Тренировочное итоговое собеседование по русскому языку,Тренировочное итоговое собеседование по русскому языку,Тренировочное итоговое собеседование по русскому языку,Тренировочное итоговое собеседование по русскому языку,Тренировочное итоговое собеседование по русскому языку,Тренировочное итоговое собеседование по русскому языку,Тренировочное итоговое собеседование по русскому языку,,,,,,,,,,,,,"Итоговое сочинение Лукьянов, Акимов,Сметанин","Итоговое сочинение Лукьянов, Акимов,Сметанин","Итоговое сочинение Лукьянов, Акимов,Сметанин","Итоговое сочинение Лукьянов, Акимов,Сметанин","Итоговое сочинение Лукьянов, Акимов,Сметанин","Итоговое сочинение Лукьянов, Акимов,Сметанин",,
2024-02-08,четверг,контрольная по информатике гр. Зиннуровой,,,,,,,,,,контрольная по информатике гр. Зиннуровой,,,,,,,,,,,,,,контрольная по информатике гр. Зиннуровой,,Лекция по физике на второй паре; 9А - зачет по физике на 2-3 паре,Лекция по физике на второй паре; 9А - зачет по физике на 2-3 паре,Лекция по физике на второй паре; 9А - зачет по физике на 2-3 паре,Лекция по физике на второй паре; 9А - зачет по физике на 2-3 паре,Лекция по физике на второй паре; 9А - зачет по физике на 2-3 паре,Лекция по физике на второй паре; 9А - зачет по физике на 2-3 паре,Лекция по физике на второй паре; 9А - зачет по физике на 2-3 паре,Лекция по физике на второй паре; 9А - зачет по физике на 2-3 паре,Лекция по физике на второй паре; 9А - зачет по физике на 2-3 паре,Лекция по физике на второй паре; 9А - зачет по физике на 2-3 паре,,,,,,,,,,,,,,,,,,,,
2024-02-09,пятница,кр русский язык,,,,,,контрольная по информатике гр. Зиннуровой,,,,,,,,,,русский язык,химия,химия,,русский язык,,,,химия,,,,Физика КР,,,,АЛГЕБРА,,,,,,,,,,,,,,,,,,,,,,,
2024-02-10,суббота,,,,,,,,,контрольная по информатике,контрольная по информатике,контрольный диктант по русскому,,,,,,контрольная по информатике гр. Зиннуровой,,Геометрия,,химия,,химия,,,,Физика кр,,,,Физика КР,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-12,понедельник,,,,,,,русский язык,,контрольный диктант по русскому,,контрольная по практфизу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-13,вторник,,,,,,,,,,,,,,,,,Спецмат административная контрольная работа ( на 3-4 уроках),Спецмат административная контрольная работа ( на 3-4 уроках),Спецмат административная контрольная работа ( на 3-4 уроках),Спецмат административная контрольная работа ( на 3-4 уроках),Спецмат административная контрольная работа ( на 3-4 уроках),Спецмат административная контрольная работа ( на 3-4 уроках),Спецмат административная контрольная работа ( на 3-4 уроках),Спецмат административная контрольная работа ( на 3-4 уроках),Спецмат административная контрольная работа ( на 3-4 уроках),Спецмат административная контрольная работа ( на 3-4 уроках),,,,,,,АЛГЕБРА,,Информатика (Морозова),,,,,,,,,,,,,,,,,,,,,
2024-02-15,четверг,,,,,,,"5 урок, встреча обучающихся 7 классов с победителями IJSO","5 урок, встреча обучающихся 7 классов с победителями IJSO","5 урок, встреча обучающихся 7 классов с победителями IJSO","5 урок, встреча обучающихся 7 классов с победителями IJSO","5 урок, встреча обучающихся 7 классов с победителями IJSO","5 урок, встреча обучающихся 7 классов с победителями IJSO","5 урок, встреча обучающихся 7 классов с победителями IJSO","5 урок, встреча обучающихся 7 классов с победителями IJSO","5 урок, встреча обучающихся 7 классов с победителями IJSO","5 урок, встреча обучающихся 7 классов с победителями IJSO",,,,,,,,,,,Информатика (Морозова),,алгебра,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-16,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,геометрия,,Информатика (Морозова),,АЛГЕБРА,,,,,,,,,,,,,,Пробный экзамен по обществознанию,,Пробный экзамен по обществознанию,,Пробный экзамен по обществознанию,,Пробный экзамен по обществознанию,,Пробный экзамен по обществознанию,
